title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
DAV Panorama		383028	0.008476367577887127	432239			445006		439441	447371	449557	439351	445052	454270	458413	447057	453928	460877	464443	452767	458432	468775	475165	487117	496526	507417	516371	505466	495395	506796	517453	506610	517211	529092	539223	528847	542477	553389	562970	552103	565096	578156	588021	574806	586851	601661	613901	599411	607018	626684
Essen + Trinken		237846	-0.006823905810555848	249539			239523	216316	209023	220301	241163	215062	200777	199136	221527	204073	193232	201539	218062	193052	193648	190478	200423	183366	171913	189359	190965	172557	165109	174632	171201	163521	156570	175660	162647	169191	173184	176030	190864	185906	176611	187867	209503	190760	174833	164341	175689	163608	167210	167880
Eltern		449655	-0.010062485299054917	377348			381422	379570	375132	381101	383981	385906	384551	382917	361643	365085	360828	367889	344194	353172	346761	344307	345249	339100	340994	342880	342176	323425	326312	316693	316249	331175	309167	312534	306806	301853	294949	314745	303125	293068	283718	285551	281481	262013	256938	259833	248909	240837	243439	240335
Echo der Frau		407257	-0.013666456198268074	364151			332287	347498	338217	327960	320152	313393	307158	314693	300211	303301	300363	306339	296502	298854	295667	299716	277169	287919	278815	272361	262315	261072	247740	255741	249417	239875	242156	238305	226729	225473	219328	229885	214360	220613	216574	218176	208312	208788	209133	207885	192513	199882	191135	196377
Evangelisches Sonntagsblatt aus Bayern		33900	-0.013853357519618848	29252			28801	28171	27896	27794	27664	26909	26527	25795	25772	25393	24942	24331	24161	23803	23868	23223	23287	22676	22362	22153	22019	21514	21300	20751	20636	20316	19882	19733	19544	19141	19058	18679	18494	18305	17861	17939	17427	17037	16785	16566	16439	16219	16033	15783
Top Hair International, Deutsche Ausgabe		25879	-0.0023072444565365785	26391			26160	25687	25422	25204	24980	24566	24750	24127	24051	23220	23252	23703	23684	23584	23857	23966	24153	24155	24297	24092	24086	23779	24052	24195	24077	24509	24352	23869	23982	24524	24406	25156	24518	23656	23628	24032	23197	23116	22970	22404	22073	21841	22154	21441
Freizeit Revue		1180605	-0.006232071946006921	1066770			1033064	1060893	1060615	1043465	1028177	1046693	1055014	1047651	1011945	1021353	1028739	1033583	1004212	1009501	1029676	1040723	1013485	1030871	1018457	1029318	981176	1007210	995962	1014177	1011197	961428	969901	959924	910085	919210	907371	918138	881309	893688	884154	896157	854880	839723	836919	834000	788592	801055	796933	802994
Freundin		626516	-0.00743313925149952	504875			465418	481035	511282	534776	517269	567383	552898	539168	540883	528538	544373	546480	537542	536337	545770	563313	547656	536828	546556	540825	539882	524536	513912	525882	516443	506273	507218	520552	505309	501781	510834	494991	455982	412616	412087	415594	402563	403269	393481	384794	375389	356787	359182	356309
Fisch und Fang		52377	0.007299312539364427	53909			52235	50887	52048	52862	51342	55918	49475	56555	66083	63428	61198	63933	65399	67067	65015	67032	71024	64912	68731	67255	71650	69555	71089	68033	74416	63266	82837	76068	73396	71713	76759	77664	73143	75779	75790	75027	70069	72065	70635	70375	70177	68048	69013	69154
Frau im Spiegel		495877	-0.01289984688654385	460350			445507	437901	426487	431247	408198	400709	390252	401422	371430	369764	365413	404920	373263	343420	350699	355415	309496	310638	303739	319103	300100	303789	296024	308445	289860	290831	298669	310879	279893	280128	289961	299758	276629	278571	282558	283930	272557	269309	273050	271855	247425	268251	256943	267186
Funk Uhr		1158041	-0.017436588993817517	1019267			965849	963726	925336	894921	907280	844231	819871	799383	804530	781732	772055	755011	767807	736152	725193	710205	714902	699489	678977	666291	662461	657030	636495	626195	611590	606320	591935	579789	577047	568251	552874	544535	542387	528464	517802	508548	505521	502652	488499	478317	475605	466304	459949	456567
Frau aktuell		401400	-0.016044991587541316	308632			291743	298677	292736	294001	294439	286843	290973	309694	295276	307644	296555	306976	293475	299702	283173	293279	266818	279155	257464	267691	262285	253994	235245	252212	231521	214860	219789	199439	194274	199829	188815	194460	182225	187637	183156	183516	173863	174881	169511	170092	159880	170137	164177	172074
fotoMAGAZIN		65498	-0.012238131113662974	54895			51760	51135	51312	54664	52237	50504	51375	51088	44031	50998	49892	51682	49732	50046	49219	52368	50031	50793	50247	52403	45065	46566	48714	46758	43524	41748	38864	43705	39302	38331	37901	39246	36665	36924	38890	40901	35197	34069	33404	30918	28321	32634	30348	30550
fliegermagazin		28038	-0.008691695365989143	27754			25305	24465	25157	24492	25216	23712	23042	24319	23448	22976	21929	22064	22269	21757	23498	23168	21659	21380	22954	21025	20152	20282	20364	20450	20319	21548	20583	20048	20127	18167	20712	19177	18342	18538	21142	18836	18918	18753	15878	18262	17973	17530	18006	17079
Fernsehwoche		953652	-0.01605538504346625	845251			797504	779392	751375	739055	730871	719843	698303	694555	698475	683797	668187	656778	649422	642791	622397	611352	607533	604102	587171	577536	579759	568552	551208	538848	536799	527859	520874	509511	507924	502898	484294	473659	475694	467061	454607	444961	443474	436595	423176	416143	415175	409324	397671	389682
Geo		607927	-0.015257713852460587	505975			471121	506835	458190	446126	459423	457317	450401	463823	437750	453252	440457	429202	494331	429185	433036	418534	411835	416934	398263	416681	379409	389070	360602	361985	345679	341906	325214	332713	313455	324837	307549	308689	297660	302452	289998	290042	285417	285623	282173	277555	271026	264996	261802	259924
Das Goldene Blatt		266217	-0.0033443189411870933	219135			238379	253985	250468	252878	253767	249606	247072	259675	256610	264020	250757	263536	251234	255336	244112	250891	244590	238524	236120	244224	238918	247671	230019	242107	230253	234688	238776	241489	229042	234558	227025	239254	228099	230849	228853	231651	219480	224529	221766	227293	212737	215068	209890	223338
GOLFmagazin		46818	-0.005125393658256592	37649			36840	37498	38586	35047	40626	40898	40972	40946	39751	38393	36478	35282	34355	52121	57091	53505	47385	46831	51612	50854	40779	41623	40368	40651	40005	31485	47156	48052	28276	30230	44603	42331	26628	27868	40368	39297	24094	26249	41112	36619	22982	25795	35871	35814
Gute Fahrt		123683	-0.012464734813891182	110775			114454	100140	97348	102087	101098	104981	100317	100130	92558	91718	89967	90141	88096	93009	88059	94339	91750	86192	80806	100779	77115	79583	79044	83326	72864	75912	76657	74273	76802	73963	68013	75619	72623	69268	70195	71133	72715	65420	64828	65439	66400	60813	60675	64084
Ein Herz für Tiere		178844	-0.02253548320157682	137334			124066	119430	110419	136823	121611	112785	110435	120122	118700	122617	109036	114127	104438	106056	101460	101571	100251	96179	98579	95536	95234	85325	84263	80120	87007	85211	81346	85970	80137	79546	71404	70208	62007	59526	56966	58165	52541	53091	50173	48401	50692	45962	51306	48771
Das Haus		2003345	-0.0027027574314150643	1902658			1932331	1911947	1915633	1915458	1928851	1882626	1913737	1891186	1903745	1866989	1832643	1872753	1873448	1825156	1857685	1829465	1840487	1789881	1796866	1807188	2022760	1802894	1830169	1933137	1882123	1836572	1832038	1950456	1890456	1840604	1824543	1908993	1859117	1774655	1756554	1820419	1781090	1700263	1689258	1738355	1698548	1608050	1594043	1600212
Harvard Businessmanager		21576	0.0006888139146721046	16840			16557	16397	15837	20488	17459	21149	21513	22791	19917	22234	23535	21335	21831	25897	22365	23511	21521	26809	25690	27803	23574	26646	27996	24643	23719	25797	24088	24443	23644	23184	24472	21249	21874	21646	19795	20567	21001	18286	20140	18800	19743	19089	18560	19168
Heim und Welt		143331	-0.02711179560310608	100259			107234	107895	100990	93438	94934	91258	75588	85900	67018	66287	69809	83029	69072	85162	71186	78861	66741	73613	76431	66178	61960	63008	55028	64814	46861	63153	51298	48753	42196	47651	41007	42412	38010	37818	44490	42607	37614	41294	37776	33994	27515	27627		
Hörzu		1968482	-0.00945482660006904	1879010			1803163	1787533	1733658	1666142	1677692	1659634	1633516	1610217	1621407	1597306	1582088	1552327	1569689	1507143	1538346	1508517	1489211	1472420	1461732	1431816	1437118	1437565	1435613	1419570	1431490	1427671	1399054	1390520	1388516	1366160	1336713	1329850	1326617	1313273	1290653	1280474	1270786	1245067	1201183	1185839	1182937	1174844	1159897	1137931
Junge Familie		148	0.13844294967021856	913			793	757	689	595	573	510	475	416	406	419	446	459	442	392	333	310	440	502	570	547	395	362	223	173	233	183	184	201	237	226	220	225	230	197	187	183	193	220808	135200	220479	188957	220313	215039	229340
Impulse		182755	-0.016198996052042974	140618			133735	131994	133457	134883	135128	135531	135112	135697	135857	136616	137122	135206	130994	125923	124831	122264	121225	120945	121154	123604	123771	105633	108327	110277	112539	103967	106475	101021	101770	100286	93317	88079	82402	85402	80922	81132	76027	61582	78820	73333	72474	73382	70174	73934
extra / tour		852933	-0.003753289837232285	834624			811496	836165	766024	818921	804799	690341	762529	803866	804292	704900		831704	830559	721753	805234	858012	848106	734112	812839	863839		718898	825091	881707	764340	599415	661390	686534	681573	620151	676699	723167	719620	629696	688610	730007	751179	650348	705689	744485	760167	664936	722255	758903
