name	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
WA-Westfälischer Anzeiger Gesamtausgabe	170655			170619	168819	166603	164033	165474	165151	163000	160939	163075	162583	159948	158048	158677	158917	157550	154729	156527	157191	156900	153729	156255	157542	156833	157331	160437	161864	152888	150240	153106	150729	149992	147564	149756	147388	146627	144275	147951	146484	146387	144802	146991	146440	145532	142197
Volksstimme Gesamt	261878			254814	253309	248798	245510	244551	243009	241206	237973	238599	233774	232534	229548	229917	227260	225196	223709	223412	222051	219594	216879	216697	216165	213431	210144	210691	210964	208008	205532	207780	211409	208894	204951	208165	205953	202139	198689	198975	199517	197998	196957	197263	197335	193893	190701
Schweriner Volkszeitung Gesamt	132685			130348	126686	125428	123778	123939	122346	120758	120213	121230	118667	119069	118252	118059	115830	116194	114140	115510	112388	110910	109765	111059	108167	111257	106214	110677	105515	105852	100648	103089	101533	103398	97811	99910	99690	99910	95141	99104	98088	98039	93049	96397	96141	95913	89998
Augsburger Allgemeine Hauptausgabe	118144			116224	115419	114927	113558	118611	114170	116782	111965	116996	111589	112097	111498	111968	111663	112038	109773	110525	110540	110289	107808	109160	109211	108684	106186	106841	106674	108127	105197	106629	105473	106056	103080	105109	104921	106193	102488	103165	102235	101930	99064	99467	99129	98565	96560
WESER-KURIER Gesamtausgabe	204401			200239	200200	197609	193185	196364	195439	193866	190528	192191	194714	189545	187537	188614	194453	187062	184633	187529	190515	184904	183540	184127	184497	181555	178423	179416	183474	179889	177558	177670	180552	176217	174154	175438	177155	173746	169787	171117	171207	167584	164542	165029	165044	161973	157036
Berliner Morgenpost	182280			191324	188687	189265	187326	177034	175435	177260	177439	174013	172351	178783	175654	174167	170944	172646	168935	171671	170247	169233	166165	169701	165464	163670	165123	167856	155981	151437	150742	148949	146487	143495	143227	141621	137969	138286	135870	136078	130422	132556	128181	126043	122503	123877	115483
Westfalen-Blatt Gesamtauflage	145553			144301	136004	136703	135609	137387	136967	139092	136829	138329	137742	140656	136867	139274	137647	138530	136010	136903	136090	136828	134476	134974	133163	134867	132519	133186	133702	134136	132309	133382	131657	131248	129201	130453	128163	127998	125847	126671	124495	125012	122856	124038	122625	122895	120145
Zeitungsgruppe Neue Westfälische Gesamt 501	279865			277732	281301	282013	276512	279564	281146	280087	274452	279305	278059	281047	272715	276787	274983	275985	270314	276286	275228	276358	267609	273913	272038	275033	265433	270838	268456	271214	262777	273418	264115	264161	258395	269899	260241	259024	250387	261629	253266	250508	241627	248271	243661	243036	233493
Handelsblatt	182113			182256	177049	181979	175347	183963	182235	181210	172718	186199	183437	179721	175931	176620	180744	181614	179346	184295	184625	181200	179214	187641	190497	174862	165267	185105	171698	166463	163880	162822	160336	160419	162961	168605	166715	164806	162306	169331	171103	146348	130762	130923	132560	130098	121829
Rheinische Post Gesamt	459335			454582	454177	446954	444406	451380	444685	444435	445101	445333	439843	439389	435434	441527	436445	431513	425557	433242	432191	429301	423859	428029	424546	421403	421446	424942	397525	395895	392733	400638	391121	388191	385938	399421	382543	384050	377310	386057	371346	368344	355557	357139	348330	342663	330359
Badische Zeitung 104 Gesamtausgabe	168204			167448	171844	171113	168723	172247	168848	169404	164795	170485	164602	165362	160067	164968	161412	164400	159767	164253	163464	162508	157565	164147	161687	163879	157760	161462	159454	160248	154860	159763	157505	157273	153293	157854	155229	154663	150424	156443	152742	152011	147878	152009	149272	148064	144538
HAZ Total	674379			663155	660519	654445	643885	651535	646545	643843	635732	640278	637586	637079	629643	631587	629132	629159	620645	624333	623017	619181	610699	614098	611412	607578	602929	602438	600255	597689	590698	592501	591374	585906	579686	581032	574542	571832	563413	564844	564090	555304	547613	549868	545084	537692	526270
Heilbronner Stimme Gesamt	105789			106807	105631	104010	102902	105824	104460	103735	102375	106694	104977	104475	102780	105481	107473	103458	101936	103234	103615	102215	99388	100271	102410	100546	98219	99298	100615	98357	96125	97739	99069	99619	95073	96970	98274	96415	93494	95283	96312	94684	91845	93448	93764	92592	89242
BILD DEUTSCHLAND	4715967			4600743	4537945	4644006	4779601	4554229	4484270	4564236	4677648	4435477	4322607	4408944	4529737	4264118	4198464	4307649	4393737	4115745	4069360	4162838	4120517	3918507	3870949	4011290	4117119	3960569	3805317	3934672	4002749	3715299	3645475	3718167	3717285	3474085	3412424	3523117	3482808	3270091							
Rhein-Zeitung Gesamt	253201			248101	247017	245056	241091	242650	241724	240921	237644	239331	239035	237866	234282	235232	235191	233148	229104	231241	230415	228411	223905	227830	227288	223945	219585	221780	221202	220037	215785	220251	217314	215799	211992	213967	213496	213790	209989	214121	211580	211361	208486	206106	195359	196715	195160
Allgäuer Zeitung Südausgabe	119768			118755	118553	117085	117357	117311	118116	115829	116336	116154	116114	114911	114761	114489	114319	113920	113402	114583	114404	112794	112314	112944	112982	113134	111644	111775	111552	112191	110007	109987	110027	111269	107826	107940	108026	109772	105875	105366	104926	103762	102829	102074	102371	101059	100158
Badische Neueste Nachrichten Gesamt 220	169875			167550	166197	165662	162409	163808	164596	162349	159772	161587	160397	159932	157220	157413	156314	155017	153246	154535	152895	152940	150465	152066	150934	150329	147839	148999	148062	146801	144646	146130	144780	144632	143141	144423	143463	143305	141187	142090	140940	140474	138521	139417	139286	137384	134184
Schwäbische Zeitung Gesamt	200828			196336	191492	193634	193185	194763	193236	193575	192779	194647	194430	192925	190796	194164	191908	191372	189863	192417	194728	190527	189160	191016	188607	191234	188938	190661	191625	189903	186848	188852	184910	184643	182313	182246	182523	179946	178806	180253	179902	176989	175590	178817	175104	172968	170476
Lübecker Nachrichten Gesamt	123840			127120	123483	124704	126591	125101	121561	122468	125230	123884	120051	121409	123968	124040	119205	120621	123291	121903	117853	117733	120918	119968	115158	115448	118142	116973	112996	113898	116687	116123	111228	111758	114950	113281	109062	109932	112690	111589	107308	106778	109853	108775	103772	103480	106105
Münchner Merkur Gesamtausgabe	309181			307836	309681	304497	303058	305748	306274	304030	302305	304587	305410	301028	300392	302551	302330	306577	304341	302538	302754	301520	298492	298988	298586	296420	293576	295906	294694	292424	289686	292953	290080	288384	286722	289386	287083	287058	283859	285710	283265	281249	278385	279777	277306	275337	272514
Süddeutsche Zeitung	531732			537788	537400	554177	537606	537261	539224	549918	550550	548804	544463	556027	548348	547199	554881	571798	550733	555679	560273	571014	566663	559287	551755	560965	553904	551418	549015	555439	544912	544173	542959	552707	543336	535567	535777	546093	522600	513172	503105	507827	497233	489470	486263	474215	455423
Rhein-Main-Presse Gesamtausgabe	243234			239400	238179	236273	230992	234353	231545	230865	226329	230283	226979	228226	228001	230514	227152	226329	222830	226187	223089	221352	217635	220369	219536	218645	213020	216259	213518	212712	209104	216664	219132	220895	215331	214500	209913	205915	200926	202750	201345	199698	192974	195394	195527	193707	185507
Nürnberger Nachrichten Gesamt	338598			339399	335863	331844	327043	333166	328821	325732	321303	327822	324123	322262	316985	321296	318649	315434	311051	317429	314011	311634	305875	311771	310064	306843	302340	307765	305392	302189	297550	301365	298716	296026	292455	298741	296409	292648	287808	294274	291065	287701	282885	287306	285016	280627	275967
Schwarzwälder Bote Gesamt	153034			164380	162423	153864	151253	151990	150737	149550	147695	149229	148932	146792	145600	147734	147034	145861	144395	146009	145314	144006	142584	144477	142949	141756	139480	140470	139425	137802	135864	137227	136449	134819	133949	134490	133230	131589	130714	130948	130483	128428	126947	127888	126319	125248	123018
Neue Osnabrücker Zeitung/	327958			325825	326444	324432	321172	323833	328547	326642	325394	325345	323835	322680	319365	321614	320299	319834	316657	318077	317175	316552	311483	314633	311492	311841	310889	309940	308175	308065	304142	305893	303700	302816	299543	300270	298291	295696	292248	293051	291790	287838	285048	285600	283005	280227	276674
Nordwest-Zeitung Gesamt	135397			134620	132283	132744	132341	133695	130766	130640	132000	132171	130690	131944	132624	134211	131717	132684	132244	133839	132087	132698	132238	132665	132506	132018	132525	133603	132228	131903	131355	132345	130376	130475	130267	130723	128932	128139	127298	127782	125790	124550	124368	124715	122468	121024	119726
Passauer Neue Presse Gesamt	190770			188594	188157	187590	186989	186822	186460	185443	184614	185191	184760	184618	184067	183844	183716	183354	182180	182908	182587	181476	180428	180748	180877	180338	179210	179663	179790	178943	177253	177788	177195	176699	176147	176596	176048	175274	174301	174852	173917	173114	172074	172568	171700	170584	169311
Mittelbayerische Zeitung Gesamt	140107			140564	139147	140540	138360	140992	138926	138042	134675	137451	135594	137465	134250	137413	134985	137492	132669	135969	132789	135052	130800	131521	130503	135089	126719	128148	129289	133616	124028	126893	127638	131394	123709	126157	126106	128690	120712	121926	121147	122663	116952	117963	117248	117975	113232
Saarbrücker Zeitung Gesamt	189989			184906	181416	181654	178630	179532	177065	176467	174928	174692	171967	172015	169747	171422	168732	170205	166897	168272	165391	164528	162348	166261	162947	162851	161929	164075	163260	162070	157608	160647	157997	158312	157595	160767	156935	155288	155157	155767	153277	151934	151048	150603	146387	147865	145677
Stuttgarter Zeitung/Stuttgarter Nachrichten Gesamt	238311			238766	238528	236321	232527	233956	231726	233565	231928	263530	258183	256082	254369	257642	255371	253958	251589	255118	255041	255146	249708	251622	250337	253028	250125	245271	242531	244709	236723	237410	234944	237487	228923	230827	226366	231274	220933	221847	217579	218957	210364	211886	206645	206485	198334
Trierischer Volksfreund Gesamtausgabe	106423			106368	105364	105102	104782	105767	103784	105011	102636	103203	102650	103448	102110	102546	101630	100761	100855	101515	100313	100524	98747	100368	99681	99311	98280	98669	97950	97936	97756	98890	98657	97817	96160	97459	96765	96651	94930	95748	94964	93887	93777	93883	92042	93166	91615
die tageszeitung gesamt	82658			85054	84182	84682	80068	82892	78800	80857	81372	83272	79794	82310	79429	81147	78086	81905	78760	79245	77436	78949	76438	80262	78414	84275	80820	84258	80881	81791	78038	81132	80522	81611	77138	78561	77191	77969	72300	75079	73144	74170	71143	71968	69028	69378	64984
WAZ-Mediengruppe	1178839			1163031	1152415	1130077	1122257	1131790	1121158	1100292	1087466	1086865	1074781	1064641	1049939	1042087	1038259	1019188	1002258	1016351	988633	997975	969156	984008	953458	939000	914093	922340	899740	906774	880246	902228	865892	865017	837428	855759	825236	821000	809013	806889	772008	755881	726270	729425	701597	694459	670670
Donaukurier Gesamt	94338			94117	94515	93105	91967	93398	93693	93247	92395	93555	93287	93023	92219	93149	93359	93283	92912	93793	94186	94380	93474	94512	95326	94619	93807	94311	94456	94297	93289	94283	94078	93753	92851	93651	93527	93057	92057	92618	92447	91530	90259	90997	91319	90595	89232
TZ-München	199090			198749	204160	204428	207092	200276	207779	204158	206312	200439	207858	200762	207904	199458	198546	200070	200903	198172	203442	199486	193986	189371	189166	191755	192607	189819	188340	191212	190059	186851	184710	187525	187933	185944	182749	183100	182588	183705	179093	179622	180287	180268	176849	177835	176543
Main-Post 50 Gesamt	159387			156167	156623	152821	150471	152702	153703	149899	148592	148914	149299	147513	146714	147531	146756	144735	142531	145385	145582	142379	139961	142108	142055	139122	137181	138646	138769	137222	134405	138200	137063	135047	132994	134907	134594	132917	129900	131624	131391	128810	127117	127303	127722	125440	122907
mrw WIRA Dortmund 2200	184005			182892	183425	181264	179792	182336	179501	176222	172828	175481	176618	174379	170275	171587	174132	169300	167527	167594	171304	163841	161047	160534	163668	154396	153082	159456	159571	152499	149131	152086	151518	149689	147042	151832	153016	149912	149315	150155	151872	150740	148536	150505	149517	147158	144064
HNA Gesamtausgabe	275805			272447	271002	270785	266669	267369	266297	265854	261272	262043	262580	259076	256941	257210	257206	255199	251912	253347	253555	250692	247918	250101	250589	247293	243479	244894	246396	244089	240544	241797	241116	238365	235788	237112	237530	236505	233491	233787	234308	231353	227605	228610	226515	225363	220584
Kieler Nachrichten GAK Gesamt	166552			165680	162669	162690	162056	161143	159297	159682	160880	123392	120253	122291	121958	120523	118336	120263	120676	118815	117078	118758	117265	116526	116183	116688	116385	114954	113947	114315	113509	112190	111929	111707	111508	110789	109837	110173	108661	108001	107292	106774	104912	104566	103593	102716	101324
Zeitungsgruppe Köln Gesamt (Kölner Stadtanzeiger/	802562			786613	771128	781008	767204	766435	747313	756232	744351	740776	717540	744471	726885	725153	710149	738258	714703	714833	700513	719060	696686	689185	682273	700762	676991	672594	671079	684873	653516	660457	648578	669807	640349	646299	629203	646985	603955	609003	600174	613336	571727	579726	566273	575840	543732
Abendzeitung München	194383			187396	199510	191552	188986	182413	178235	180181	180554	174817	189868	182969	180115	168697	164670	170701	170928	166984	174719	174111	173390	165960	165026	164438	165239	157913	165479	154367	148708	149375	147741	145863	147677	146559	157849	148166	137509	142295	137806	139107	138013	135717	141033	103189	65930
SÜDWEST PRESSE Gesamt	361943			360329	358793	355333	351521	357038	356988	351780	347367	352673	352012	346449	342604	346680	346266	345199	341388	343245	341681	340413	334209	339326	338384	336156	331446	335404	335032	331179	325783	329940	330024	325972	320963	326576	327314	322997	320240	323423	324167	318506	314094	318151	316453	311658	307234
Ostsee-Zeitung Gesamtausgabe	189947			187920	183711	186209	190271	182715	179463	182394	185611	179727	174300	176403	181671	174397	171817	176652	181264	173003	168359	171332	178692	170733	165645	168728	177833	165024	160144	164364	173774	163206	158119	161536	171478	160324	155721	160937	169012	159145	153605	156216	166122	155492	150119	154013	163953
Sächsische Zeitung 010 Gesamt	335207			329689	322811	317545	311673	315541	323558	320168	314050	317914	309843	306605	300449	304760	301216	298624	291261	295529	291537	290424	284710	288466	285782	282747	279006	283848	280662	277164	273532	278721	274336	271644	267801	272010	268091	265334	261382	265250	263043	258395	254235	257932	253274	249131	245479
Braunschweiger Zeitung Gesamtausgabe	203669			193700	198107	193432	188678	192201	192159	190611	188868	190437	190478	186260	181350	187742	183526	185037	180193	182834	182547	180400	176943	180330	180533	179687	172419	173687	174662	174570	168149	170578	170933	170587	165392	167449	166993	168106	162835	162182	162581	161908	154993	156706	152086	153739	147645
Westdeutsche Zeitung plus Gesamt	230017			226009	222206	219720	215515	219414	214586	213857	211392	214782	211326	210292	208218	208889	207325	206123	199077	200377	197060	195892	190167	193404	189381	190901	184585	186467	185761	185956	179875	182659	179927	178533	168011	170385	166888	164619	159443	160932	158855	157193	151646	154394	148655	144015	136796
Berliner Kurier	186661			192540	176706	178312	177973	173512	171206	172070	178158	179771	177254	181700	185070	180513	179170	184990	184406	178965	175996	177526	176399	175345	172854	174331	176569	168058	165955	171176	170763	165498	162387	166538	166696	162049	153552	159404	156429	149702	143839	146845	146440	140659	133128	137319	135586
Märkische Allgemeine Gesamt	204883			200607	194827	194697	193955	194217	190832	190819	186566	187566	182010	179112	175570	175595	173016	171462	169191	169971	167373	166426	165271	164985	162976	162003	160183	161344	159109	158136	154843	155980	153739	153024	150060	151188	148766	148378	145501	146254	142361	141583	138716	140106	138145	137628	133357
Mitteldeutsche Zeitung Gesamt	319341			309288	307292	301832	295849	295888	292250	288291	282600	283601	279325	275519	269465	269743	262698	263198	257354	257790	256001	252420	248820	250681	246655	242966	238269	237188	236457	233400	229582	230617	228845	225760	221577	224152	222501	220197	215545	216342	214970	212524	209817	212102	208019	207418	202327
Morgenpost für Sachsen Gesamt	134084			132288	134635	133735	132978	130947	132198	132874	132155	134522	130944	132004	129628	131080	128286	126371	124639	141442	137959	138506	136256	137505	134783	136504	133149	134614	130258	131476	128808	128340	129475	128967	128171	126967	124342	124567	121723	126457	120743	120181	117227	119021	114551	113697	109744
Südkurier Gesamt 001	155217			154637	153196	157303	151716	152512	150374	151205	148505	149281	152834	149020	146654	147824	149175	147565	145473	146683	147737	146841	143799	144879	146256	143992	141175	142983	144200	143278	139208	140891	140304	138913	136744	138390	138067	137449	134570	136423	136147	132639	129594	130382	130045	127303	125495
ZGT Thüringen Gesamtausgabe (TA+TLZ+OTZ)	451507			438686	433505	428636	423591	421100	415680	411035	403468	401553	396682	392013	385420	384851	381195	377388	371932	371013	367321	364146	357335	356014	352821	350761	345041	343813	343096	340606	337828	337643	335689	332657	326668	326315	322335	320322	314837	314604	311501	307910	302368	302756	300489	298230	293952
