name	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Westfälischer Anzeiger	157846.27642913393	-0.0032506371045773145	155847			153412	153428	151506	149494	150586	150450	148890	146743	148353	147821	146326	144462	145268	145129	143871	141568	143128	142438	141016	139382	141357	141564	141816	143166	145618	146893	138502	137337	139516	137772	135705	134238	136583	134542	134107	132262	135108	133540	135352	133329	135946	135899	135024	132265
Magdeburger Volksstimme	257966.5169883333	-0.006846529363751161	249034			242263	241654	237148	233637	233234	231746	227478	225158	225088	223115	221114	218014	217427	216347	213800	210999	211117	210327	207699	205425	204702	204899	201626	198953	197722	199202	195978	193199	193698	194121	191878	190003	190374	189351	189154	187670	187606	188135	186103	184300	183801	184467	181634	179648
Schweriner Volkszeitung	129945.1190825647	-0.007824366834755424	123257			120125	119088	116975	115811	115892	114100	112116	111738	111572	109722	108680	108221	108006	106570	105682	104247	105470	102654	101467	100251	101282	99110	100940	96687	97813	96608	96806	91730	94428	92914	93404	88291	91068	90719	92196	87637	90813	90345	90914	85992	89477	88283	88930	83387
Augsburger Allgemeine	113698.20533811867	-0.003364566236208093	112107			110393	109955	108639	107778	109122	108818	107083	105758	106895	106426	105239	103992	105421	105131	104263	102296	103597	103639	102235	100321	101862	102189	100897	98871	99711	99653	99135	97203	98411	98173	97154	95576	97452	97242	97663	96613	97960	98366	97046	96218	97214	97645	96842	95306
Weser-Kurier	189322.89039633094	-0.0036137373245181724	188330			182412	182371	179250	175328	178895	179653	176785	173812	174547	179924	173129	171141	172726	179455	171351	168802	171395	175065	169061	167029	167305	169099	166123	163458	164120	167699	163928	162110	162071	165267	160745	158286	159254	160910	163146	159843	161191	162276	159756	157229	158019	158974	156723	152631
Berliner Morgenpost	175939.01419518772	-0.0077753214063407995	149937			152741	152257	153135	149770	147797	150182	149900	150814	149105	148670	149154	150350	150082	148772	150420	146866	149041	148407	147156	145253	148035	145556	142727	143628	144944	134034	130971	127469	127469	126634	123966	123963	124454	121871	121529	120304	120293	115260	118037	114622	112856	110862	111147	103194
Westfalen-Blatt	133894.5782843326	-0.002491060632665161	135649			133250	126725	126452	126072	127775	127382	127827	127046	128154	127625	128130	126359	126680	126239	126831	124976	125888	125331	124713	122993	123188	123021	123415	121467	121017	121888	121796	120515	121756	119777	119672	118423	119314	117067	121467	120034	120708	119053	119556	117900	118839	117520	117824	115604
Neue Westfälische	261275.39414499945	-0.002038103832495249	255122			253027	255839	254753	250652	253672	254143	252659	248690	252338	251215	252177	247522	249942	248763	249752	244578	248348	247452	248382	242034	245936	244060	246517	239066	241702	240325	243028	237809	244021	238303	236947	233639	240779	234318	243392	237945	243416	239634	239265	233457	237662	234374	233450	226695
Handelsblatt	155259.1690850553	-0.003494941257293664	144912			148319	144326	143024	141658	146706	143582	143591	140778	142964	143986	141344	141565	142043	145784	142998	143415	143978	147839	145103	144650	145882	146164	138301	135153	139102	136920	136892	136612	136625	136851	135895	137602	136820	136687	138039	137725	138645	140728	124600	115254	115345	121582	121334	116498
Rheinische Post	450873.31605919846	-0.005940174679496159	416792			411686	412418	405204	400346	405655	402460	400783	400541	402176	399215	397323	390746	397417	395558	388791	383374	390873	391071	388444	382193	387143	383367	381800	379023	384724	356388	354728	351217	354079	348835	346856	342923	345623	340870	343952	338415	342807	336216	332767	325672	328253	325888	321056	313160
Badische Zeitung	157228.11353503328	-0.0019047430290775225	156946			154897	155019	153500	150593	154693	152001	152084	149264	152896	150028	151291	147460	151401	148204	149689	146079	149640	149629	148074	144291	149504	148060	149155	145399	148278	147624	147651	142789	147298	145453	145067	141646	145563	143846	144130	139818	144149	145322	144990	141503	144967	143923	142749	139781
Hannoversche Allgemeine Zeitung	634313.4353186727	-0.0043936351282137815	612815			598382	601965	591424	584594	587218	589729	582927	577381	578789	579950	574812	571965	570701	572041	567733	562693	563590	563846	558801	552816	554171	556068	549957	545617	545261	544496	539974	534429	534551	535782	529502	523984	522434	518647	516984	509957	511451	513587	508792	502862	504318	502898	497312	489320
Heilbronner Stimme	103500.11119017258	-0.003305535366786181	99142			99174	98394	96811	95749	98186	97972	97366	96031	100174	97909	96506	95043	96131	96575	95616	94277	94622	96108	94976	92241	93110	95016	93199	90924	92323	93437	91604	89584	90851	91814	91874	87338	89156	90092	89142	86245	87952	88931	87557	84730	87222	87960	87192	83980
BILD	4495847.569357858	-0.010530602683084558	3976023			3811785	3781313	3867080	3881961	3736371	3654734	3761497	3829223	3609427	3545215	3599652	3716330	3439352	3444977	3499229	3547644	3328279	3326202	3401491	3335622	3141974	3155751	3233196	3299728	3030510	3014102	3115077	3098254	2900355	2855893	2908334	2898086	2702206	2671363	2752242	2698383	2521054							
Rhein-Zeitung	241622.38452807697	-0.00420813894506352	235893			230074	228911	227436	224837	225726	224585	223233	221115	222214	222067	220416	217388	218454	220185	217528	214019	216149	215571	213831	209294	212187	212538	209463	205803	207595	207322	205717	202051	203842	202480	200673	197492	198842	197260	202508	198933	202340	200098	199238	198646	197122	188524	190832	188345
Allgäuer Zeitung	116950.61046951126	-0.002769455633066961	114436			112906	112867	111772	111944	111572	111830	110461	110976	110809	110950	109681	109303	109325	109239	107945	107707	108912	109084	107538	106811	107603	107852	107822	106351	106624	106529	105883	104730	104765	104788	103280	102702	102874	102906	102332	102064	102453	102737	101854	101199	100905	101702	100594	100171
