title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
DAV Panorama		399455	0.008214685485778037	442222			461713		452912	460871	463716	453564	460060	469012	473862	462837	469658	477226	480562	471194	479302	489437	492062	506970	516503	525756	532503	521753	531666	542890	553403	522544	533077	544800	554644	544331	557823	568586	578019	566890	579863	592794	602432	589085	601054	615787	628007	613443	626092	640513
Essen + Trinken		242980	-0.006919170416523736	254270			243811	220557	213274	224771	245486	219291	205000	202870	225475	207892	196877	205214	222259	197883	196915	193700	203589	187592	181435	192120	193662	175295	167702	176950	173330	165662	158650	177709	164826	171314	175236	183578	198958	193202	178681	189939	211551	192789	176934	166462	178142	165772	169372	170177
Eltern		458883	-0.010226093566328795	382440			388285	387363	383834	387643	390654	391353	390395	388425	366474	370077	366175	373261	349561	357676	351233	350387	356992	345571	346803	350141	348466	328322	334391	322161	322594	336496	314665	317221	309375	304755	297403	318158	306396	296231	287290	289146	285235	264728	259487	262454	252093	243367	245304	242619
Echo der Frau		406357	-0.013208880304553234	366656			333479	348689	339407	329105	321288	314480	308267	315809	301332	304423	301486	307474	297659	300019	296835	300988	278482	289053	279923	278500	268443	267128	253735	261764	258668	245775	247796	243838	232201	230948	224422	234664	218800	224984	220155	221849	211944	212055	212143	210621	195205	202552	193822	199061
Evangelisches Sonntagsblatt aus Bayern		35059	-0.014123569566977865	30181			29705	29045	28751	28642	28495	27706	27319	26587	26558	26144	25675	25041	24858	24421	24480	23818	23856	23224	22976	22668	22533	22015	21789	21226	21112	20772	20323	20166	19971	19567	19481	19095	18910	18692	18216	18229	17807	17413	17165	16937	16811	16569	16380	16138
Top Hair International, Deutsche Ausgabe		29001	0.00017222496325390707	27567			30549	26852	30222	26251	29667	29055	26068	28865	28651	28848	28450	28770	29220	29828	29030	29269	29746	29441	29365	30035	29619	29714	29588	30651	29670	27227	33756	30685	30051	30430	30156	31398	30568	29561	29427	30381	28991	29127	28320	28385	27375	27719	26275	25962
Freizeit Revue		1191786	-0.006360704440686117	1074585			1045177	1072514	1070958	1053307	1036663	1053679	1061911	1053045	1017718	1027123	1034545	1039834	1009828	1015058	1035798	1047704	1019419	1035516	1023534	1034475	985404	1011343	999837	1018622	1015555	965817	971703	964362	914836	922867	911170	921873	885617	897429	887640	899445	858157	843047	839730	836504	791104	803490	799370	805555
Freundin		644886	-0.007890930966272401	511753			471773	492649	517279	541147	525466	615766	571725	546594	570749	534786	549838	553469	543681	541810	552192	569714	553137	541496	552641	547810	545367	530302	519843	532372	522996	511265	512238	526687	510536	505816	514924	498719	460205	416278	416108	419412	406353	406928	396633	387631	377997	359373	361475	358074
Fisch und Fang		52000	0.00782485394243464	54520			52731	51415	52367	53094	51929	56576	49759	56961	66478	63912	61444	64190	65700	67476	65252	67240	71312	65361	68927	67459	71988	70142	71344	68260	74755	63787	83150	76279	73731	72032	77188	78232	73529	76411	76325	75854	71942	73454	72004	72143	72873	71485	73042	72199
Frau im Spiegel		501159	-0.013013157946218051	464409			449443	441846	430561	435109	412070	404401	393630	403934	373919	372208	367887	407482	377404	345771	352736	357412	311409	312507	305384	321411	302539	306366	299549	312807	292153	292982	300847	312985	284371	282268	292096	301934	278298	279938	283464	284897	273575	270292	273932	272712	248243	269068	257710	267930
Funk Uhr		1162195	-0.017363041134659883	1023577			970326	968051	931722	899134	911559	847387	822369	803066	806993	785114	775964	758834	772901	740162	729337	713712	719065	703196	683490	671345	666903	661534	641985	629799	615987	610024	595772	583409	580183	572904	556472	547656	545891	532494	521263	511587	508483	506316	492108	481243	478372	469098	464020	461046
Frau aktuell		400269	-0.015542736665255985	311144			292967	299902	293962	295184	295592	287977	292144	310856	296445	308810	297721	308151	294671	300907	284383	294590	268159	280305	258592	273559	268114	259755	240899	257919	239862	220449	225138	204716	199426	205014	193801	199201	186590	191923	186640	186871	177340	177974	172362	172686	162407	172604	166634	174519
fotoMAGAZIN		65923	-0.011793230320602087	56174			52840	52226	52350	55522	53023	51231	52119	51812	44774	51904	50576	52344	50385	50707	49901	53065	50733	51468	50937	53099	45766	47262	49412	47457	44246	42465	39796	44672	40684	39232	38907	40384	37588	38190	39959	41915	36346	35291	34476	32312	29693	33992	31599	31463
fliegermagazin		28709	-0.008782176324808391	28510			25979	25156	25868	25249	25931	24286	23571	24760	23921	23413	22367	22477	22693	22155	23882	23538	22037	21742	23334	21391	20505	20622	20699	20799	20660	21880	20977	20467	20559	18582	21118	19587	18746	18961	21560	19215	19293	19114	16285	18677	18414	18106	18365	17351
Fernsehwoche		959991	-0.016156531071121378	853460			799873	784443	754685	742324	733844	723051	701705	697404	701432	686779	671467	659880	653316	645643	624855	614260	609238	606233	589319	579249	581708	570107	552491	540246	538054	528832	522138	510611	508860	503773	485394	474775	476718	468045	455665	445914	444245	437419	424154	417074	415921	410106	398501	390530
Geo		622257	-0.015503946346894101	513830			487439	516620	466843	451496	466822	465168	467434	472065	446666	460271	448677	434024	503394	433752	437088	422506	420728	429277	410219	425975	383906	393582	364420	366325	348951	345066	328640	337237	316389	328042	310383	314871	301464	307070	293455	293434	288068	289552	284981	280050	274736	267870	265241	262672
